,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,bengkulu,75,ID,1604441312,86,-3.8,102.27,74.7,3.67
88,touros,40,BR,1604441011,78,-5.2,-35.46,80.6,14.99
89,brummen,12,NL,1604441312,93,52.09,6.16,46.0,11.41
90,ixtapa,5,MX,1604440812,35,20.7,-105.2,89.6,9.17
91,sikar,0,IN,1604441286,32,27.62,75.15,57.38,1.12
92,chernigovka,1,RU,1604441313,76,44.34,132.57,24.57,7.0
93,severodvinsk,90,RU,1604441313,87,64.56,39.83,48.2,8.95
94,tigil,100,RU,1604441314,75,57.8,158.67,38.8,19.13
95,hami,20,CN,1604440957,81,42.8,93.45,34.14,1.61
96,anuchino,0,RU,1604441314,76,43.96,133.05,23.11,6.85
97,kelvington,15,CA,1604441314,35,52.17,-103.53,57.2,3.36
98,husavik,0,IS,1604440881,69,66.04,-17.34,39.2,14.99
99,qaanaaq,2,GL,1604441052,79,77.48,-69.36,2.17,5.7
100,ellensburg,75,US,1604441287,75,47.0,-120.55,46.99,1.7
101,puerto leguizamo,0,ES,1604441116,88,36.59,-6.23,66.2,4.7
102,severo-kurilsk,19,RU,1604441315,82,50.68,156.12,41.47,12.75
103,ponta do sol,75,PT,1604440918,63,38.73,-28.27,60.8,11.41
104,lorengau,91,PG,1604440889,70,-2.02,147.27,84.22,3.56
105,kawalu,81,ID,1604441145,89,-7.38,108.21,72.36,1.3
106,mutum,99,BR,1604441316,81,-19.8,-41.44,68.07,4.97
107,maturin,100,VE,1604441317,92,9.75,-63.18,74.89,4.83
108,acarau,74,BR,1604441317,77,-2.89,-40.12,80.6,12.93
109,bathsheba,20,BB,1604440989,69,13.22,-59.52,82.4,17.22
110,guerrero negro,52,MX,1604440936,50,17.67,-100.0,74.34,4.34
111,urumqi,0,CN,1604441317,51,43.8,87.6,35.6,4.47
112,victor harbor,76,US,1604440938,76,42.98,-77.41,39.99,2.75
113,tual,100,ID,1604441318,78,-5.67,132.75,81.37,13.98
114,coquimbo,90,CL,1604440968,76,-29.95,-71.34,57.2,11.41
115,fortuna,20,US,1604441024,72,40.6,-124.16,64.0,6.93
116,aykhal,90,RU,1604441318,84,66.0,111.5,3.2,2.33
117,port keats,37,CD,1604441318,60,-7.03,29.76,77.54,4.47
118,cururupu,66,BR,1604441123,87,-1.83,-44.87,77.72,3.78
119,nome,90,US,1604440966,79,64.5,-165.41,26.01,6.93
120,pavlodar,0,KZ,1604441319,92,52.3,76.95,30.2,6.71
121,beeville,0,US,1604441026,34,28.4,-97.75,79.0,10.0
122,sept-iles,52,CA,1604440945,53,50.2,-66.38,24.8,11.41
123,tigzirt,49,DZ,1604441319,62,36.89,4.12,67.41,5.57
124,nalut,100,LY,1604441022,43,30.33,10.85,63.73,8.08
125,longyearbyen,90,SJ,1604441320,86,78.22,15.64,28.4,21.92
126,sobolevo,100,RU,1604441012,86,54.43,31.9,44.58,8.88
127,galveston,1,US,1604441141,40,29.37,-94.97,71.6,8.05
128,tiksi,100,RU,1604441069,95,71.69,128.87,9.55,3.06
129,shumskiy,100,RU,1604441323,96,54.83,99.13,27.81,1.68
130,portland,90,US,1604440646,93,45.52,-122.68,57.0,6.93
131,port augusta,37,CD,1604441323,60,-7.03,29.76,77.54,4.47
132,carnarvon,0,AU,1604441323,77,-24.87,113.63,64.4,13.87
133,iranshahr,0,IR,1604441324,12,27.2,60.68,62.6,4.79
134,tambo,26,PE,1604441326,58,-14.8,-73.92,44.11,8.81
135,maniwaki,34,CA,1604441326,58,46.38,-75.97,28.4,5.82
136,ribeira grande,20,ES,1604440941,81,42.75,-8.44,45.0,4.7
137,san patricio,33,ML,1604440747,21,13.3,-4.9,84.07,7.72
138,erenhot,6,CN,1604440996,73,43.65,111.98,33.35,11.1
139,esperance,40,AU,1604441326,93,-33.87,121.9,50.0,3.36
140,ostrovnoy,13,RU,1604440979,88,68.05,39.51,37.51,12.95
141,thompson,90,CA,1604440949,92,55.74,-97.86,23.0,4.7
142,upernavik,100,GL,1604440934,91,72.79,-56.15,20.12,9.95
143,tahta,0,EG,1604441328,49,26.77,31.5,77.0,11.41
144,clyde river,1,US,1604440975,41,41.3,-82.98,59.0,9.17
145,alekseyevsk,99,RU,1604441328,97,57.84,108.35,23.54,6.08
146,bambous virieux,75,MU,1604440920,73,-20.26,57.41,71.6,8.05
147,salalah,0,OM,1604440677,46,17.02,54.09,73.4,4.7
148,half moon bay,99,LR,1604441131,88,6.38,-10.7,78.51,4.7
149,chase,100,CA,1604441329,93,50.82,-119.69,44.6,1.12
150,luanda,40,AO,1604441192,83,-8.84,13.23,78.8,9.17
151,bilibino,0,RU,1604441329,85,68.05,166.44,-14.08,2.44
152,miyako,0,JP,1604441329,67,39.64,141.95,41.9,6.33
153,listvyanka,90,RU,1604441330,100,51.85,104.87,24.8,6.71
154,avarua,94,CK,1604441330,78,-21.21,-159.78,77.0,14.99
155,cidreira,3,BR,1604441017,78,-30.18,-50.21,62.62,12.68
156,kirovskiy,24,RU,1604441330,79,45.09,133.51,23.32,9.13
157,khatanga,93,RU,1604440954,94,71.97,102.5,-0.53,3.67
158,laguna,38,US,1604441330,36,38.42,-121.42,81.0,1.99
159,sibolga,100,ID,1604441014,88,1.74,98.78,74.46,4.05
160,biaora,0,IN,1604441331,29,23.87,76.92,63.75,5.08
161,puerto madero,0,ES,1604441109,88,36.59,-6.23,66.2,4.7
162,weligama,98,LK,1604441331,87,5.97,80.42,77.5,5.84
163,sur,0,OM,1604440908,49,22.57,59.53,70.21,7.18
164,qui nhon,40,BR,1604441332,83,-10.97,-37.6,80.6,8.05
165,saint-augustin,58,CA,1604441332,82,51.23,-58.65,26.51,10.98
166,vila velha,13,PT,1604441067,81,42.03,-8.16,45.0,8.99
167,tiarei,75,PF,1604441332,58,-17.53,-149.33,86.0,18.34
168,east london,75,IS,1604440923,69,65.0,-15.0,39.2,8.05
169,brindisi,20,IT,1604441332,88,40.58,17.67,62.6,9.17
170,kathmandu,20,NP,1604441157,93,27.72,85.32,59.0,2.24
171,pochutla,20,MX,1604440998,58,15.74,-96.47,88.0,11.41
172,praia,0,CV,1604440848,74,14.92,-23.51,78.8,16.11
173,timmins,90,CA,1604441334,92,48.47,-81.33,23.0,10.29
174,brae,95,GB,1604441334,81,60.4,-1.35,46.4,16.11
175,hofn,6,IS,1604441005,65,64.25,-15.21,41.07,11.95
176,kuytun,100,RU,1604441334,99,54.34,101.5,27.63,3.85
177,salisbury,2,GB,1604441335,81,51.07,-1.8,42.8,10.29
178,saskylakh,94,RU,1604441004,91,71.92,114.08,-3.33,3.65
179,sembe,91,CG,1604441335,90,1.65,14.58,73.08,0.74
180,santa isabel,80,PH,1604441335,83,17.49,120.43,75.7,5.35
181,riachao das neves,100,BR,1604441335,91,-7.36,-46.62,73.72,7.14
182,nanpiao,0,CN,1604441336,62,41.1,120.75,29.03,2.68
183,oranjemund,5,NA,1604441036,89,-28.55,16.43,60.96,5.77
184,kiunga,100,PG,1604441140,98,-6.12,141.29,73.85,2.93
185,acurenam,100,GQ,1604441336,99,1.03,10.65,68.86,3.18
186,hasaki,40,JP,1604441010,70,35.73,140.83,48.2,8.05
187,bethel,77,US,1604440910,60,41.37,-73.41,41.0,4.41
188,pevek,15,RU,1604441336,92,69.7,170.31,1.71,9.8
189,loukhi,100,RU,1604441337,84,66.08,33.04,41.32,9.46
190,norsup,75,VU,1604441337,88,-16.07,167.38,77.0,3.36
191,broome,20,US,1604441030,74,42.25,-75.83,39.0,3.36
192,beloha,0,MG,1604440955,68,-25.17,45.05,70.66,5.3
193,dingle,100,PH,1604440981,90,11.0,122.67,75.97,2.59
194,brooks,83,CA,1604441265,21,50.58,-111.89,62.6,17.22
195,cuyo,100,PH,1604441339,79,10.85,121.01,83.08,13.82
196,matara,100,LK,1604441339,88,5.95,80.54,77.31,6.2
197,namibe,0,AO,1604440927,67,-15.2,12.15,69.75,10.45
198,gejiu,100,CN,1604441341,100,23.31,103.16,49.69,2.68
199,sabang,91,ID,1604441342,77,5.89,95.32,81.1,7.83
200,romny,6,UA,1604441247,94,50.75,33.47,43.86,3.94
201,chokurdakh,0,RU,1604440935,83,70.63,147.92,-16.04,5.41
202,okha,9,RU,1604441342,96,53.57,142.95,25.48,15.39
203,naze,75,JP,1604441342,63,28.37,129.48,68.0,19.46
